ts,client,query,type,response,rcode,latency_ms
2026-02-09T00:00:00.000Z,jumphost-01,registry.npmjs.org,A,52.92.128.17,NOERROR,40
2026-02-09T00:00:59.722Z,db-analytics-01,updates.microsoft.com,A,13.107.42.14,NOERROR,52
2026-02-09T00:03:01.568Z,hr-ws11,api.github.com,A,140.82.112.5,NOERROR,5
2026-02-09T00:05:00.190Z,filesrv02,registry.npmjs.org,A,52.92.128.17,NOERROR,69
2026-02-09T00:07:43.633Z,db-analytics-01,login.microsoftonline.com,A,140.82.112.5,NOERROR,41
2026-02-09T00:10:25.115Z,finance-lt23,box.com,A,140.82.112.5,NOERROR,17
2026-02-09T00:13:07.416Z,hr-ws11,cdn.slack.com,A,74.112.186.55,NOERROR,48
2026-02-09T00:14:51.158Z,db-analytics-01,login.microsoftonline.com,A,52.92.128.17,NOERROR,45
2026-02-09T00:16:57.400Z,jumphost-01,s3.us-west-2.amazonaws.com,A,13.107.42.14,NOERROR,36
2026-02-09T00:19:30.959Z,db-analytics-01,box.com,A,13.107.42.14,NOERROR,57
2026-02-09T00:20:31.591Z,jumphost-01,updates.microsoft.com,A,13.107.42.14,NOERROR,54
2026-02-09T00:22:36.764Z,finance-lt23,box.com,A,52.92.128.17,NOERROR,65
2026-02-09T00:24:44.000Z,finance-lt23,login.microsoftonline.com,A,140.82.112.5,NOERROR,70
2026-02-09T00:27:21.356Z,sec-admin01,updates.microsoft.com,A,140.82.112.5,NOERROR,48
2026-02-09T00:29:26.021Z,db-analytics-01,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,20
2026-02-09T00:32:19.691Z,db-analytics-01,updates.microsoft.com,A,74.112.186.55,NOERROR,29
2026-02-09T00:34:21.577Z,sec-admin01,registry.npmjs.org,A,74.112.186.55,NOERROR,33
2026-02-09T00:37:04.400Z,jumphost-01,api.github.com,A,13.107.42.14,NOERROR,40
2026-02-09T00:39:04.094Z,filesrv02,api.github.com,A,140.82.112.5,NOERROR,13
2026-02-09T00:40:46.622Z,filesrv02,box.com,A,140.82.112.5,NOERROR,51
2026-02-09T00:42:19.434Z,hr-ws11,updates.microsoft.com,A,140.82.112.5,NOERROR,18
2026-02-09T00:43:17.198Z,db-analytics-01,cdn.slack.com,A,52.92.128.17,NOERROR,42
2026-02-09T00:45:18.129Z,jumphost-01,registry.npmjs.org,A,52.92.128.17,NOERROR,17
2026-02-09T00:47:01.052Z,sec-admin01,api.github.com,A,74.112.186.55,NOERROR,61
2026-02-09T00:48:45.480Z,finance-lt23,api.github.com,A,13.107.42.14,NOERROR,65
2026-02-09T00:50:31.185Z,sec-admin01,s3.us-west-2.amazonaws.com,A,52.92.128.17,NOERROR,39
2026-02-09T00:52:14.546Z,hr-ws11,login.microsoftonline.com,A,140.82.112.5,NOERROR,56
2026-02-09T00:53:52.229Z,filesrv02,cdn.slack.com,A,13.107.42.14,NOERROR,64
2026-02-09T00:56:22.663Z,sec-admin01,login.microsoftonline.com,A,52.92.128.17,NOERROR,56
2026-02-09T00:57:43.447Z,hr-ws11,login.microsoftonline.com,A,74.112.186.55,NOERROR,63
2026-02-09T00:58:57.126Z,sec-admin01,updates.microsoft.com,A,13.107.42.14,NOERROR,60
2026-02-09T01:01:06.522Z,db-analytics-01,box.com,A,140.82.112.5,NOERROR,35
2026-02-09T01:02:22.901Z,filesrv02,cdn.slack.com,A,13.107.42.14,NOERROR,68
2026-02-09T01:03:25.988Z,sec-admin01,s3.us-west-2.amazonaws.com,A,13.107.42.14,NOERROR,21
2026-02-09T01:04:30.002Z,db-analytics-01,api.github.com,A,52.92.128.17,NOERROR,41
2026-02-09T01:05:43.836Z,sec-admin01,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,5
2026-02-09T01:08:38.296Z,finance-lt23,registry.npmjs.org,A,52.92.128.17,NOERROR,26
2026-02-09T01:09:31.165Z,finance-lt23,updates.microsoft.com,A,52.92.128.17,NOERROR,44
2026-02-09T01:10:13.277Z,sec-admin01,api.github.com,A,74.112.186.55,NOERROR,18
2026-02-09T01:12:17.862Z,filesrv02,box.com,A,52.92.128.17,NOERROR,62
2026-02-09T01:14:40.624Z,db-analytics-01,api.github.com,A,74.112.186.55,NOERROR,38
2026-02-09T01:15:57.726Z,sec-admin01,box.com,A,74.112.186.55,NOERROR,44
2026-02-09T01:17:45.397Z,jumphost-01,login.microsoftonline.com,A,52.92.128.17,NOERROR,7
2026-02-09T01:20:35.267Z,hr-ws11,box.com,A,13.107.42.14,NOERROR,9
2026-02-09T01:23:11.383Z,finance-lt23,registry.npmjs.org,A,74.112.186.55,NOERROR,15
2026-02-09T01:25:08.163Z,filesrv02,registry.npmjs.org,A,140.82.112.5,NOERROR,46
2026-02-09T01:27:07.682Z,db-analytics-01,api.github.com,A,74.112.186.55,NOERROR,44
2026-02-09T01:29:25.137Z,finance-lt23,updates.microsoft.com,A,140.82.112.5,NOERROR,41
2026-02-09T01:31:35.900Z,hr-ws11,api.github.com,A,140.82.112.5,NOERROR,70
2026-02-09T01:32:34.334Z,jumphost-01,registry.npmjs.org,A,13.107.42.14,NOERROR,18
2026-02-09T01:35:27.654Z,sec-admin01,api.github.com,A,74.112.186.55,NOERROR,31
2026-02-09T01:36:26.267Z,finance-lt23,updates.microsoft.com,A,13.107.42.14,NOERROR,9
2026-02-09T01:39:06.289Z,hr-ws11,box.com,A,13.107.42.14,NOERROR,35
2026-02-09T01:39:54.556Z,filesrv02,s3.us-west-2.amazonaws.com,A,13.107.42.14,NOERROR,34
2026-02-09T01:42:39.044Z,hr-ws11,api.github.com,A,140.82.112.5,NOERROR,29
2026-02-09T01:43:16.104Z,sec-admin01,cdn.slack.com,A,52.92.128.17,NOERROR,26
2026-02-09T01:44:49.233Z,hr-ws11,updates.microsoft.com,A,74.112.186.55,NOERROR,67
2026-02-09T01:46:51.611Z,finance-lt23,box.com,A,13.107.42.14,NOERROR,18
2026-02-09T01:47:57.621Z,sec-admin01,cdn.slack.com,A,52.92.128.17,NOERROR,4
2026-02-09T01:49:01.434Z,finance-lt23,api.github.com,A,140.82.112.5,NOERROR,47
2026-02-09T01:49:45.896Z,sec-admin01,api.github.com,A,74.112.186.55,NOERROR,6
2026-02-09T01:51:47.389Z,finance-lt23,box.com,A,13.107.42.14,NOERROR,3
2026-02-09T01:52:53.249Z,filesrv02,registry.npmjs.org,A,13.107.42.14,NOERROR,12
2026-02-09T01:54:07.154Z,sec-admin01,cdn.slack.com,A,140.82.112.5,NOERROR,16
2026-02-09T01:56:42.466Z,jumphost-01,api.github.com,A,74.112.186.55,NOERROR,39
2026-02-09T01:58:16.106Z,finance-lt23,s3.us-west-2.amazonaws.com,A,13.107.42.14,NOERROR,53
2026-02-09T02:00:59.789Z,sec-admin01,api.github.com,A,52.92.128.17,NOERROR,19
2026-02-09T02:02:55.676Z,jumphost-01,api.github.com,A,52.92.128.17,NOERROR,60
2026-02-09T02:04:01.086Z,hr-ws11,s3.us-west-2.amazonaws.com,A,52.92.128.17,NOERROR,47
2026-02-09T02:06:44.306Z,sec-admin01,cdn.slack.com,A,13.107.42.14,NOERROR,45
2026-02-09T02:08:45.756Z,filesrv02,s3.us-west-2.amazonaws.com,A,13.107.42.14,NOERROR,23
2026-02-09T02:10:45.824Z,db-analytics-01,registry.npmjs.org,A,74.112.186.55,NOERROR,57
2026-02-09T02:12:52.201Z,hr-ws11,updates.microsoft.com,A,52.92.128.17,NOERROR,61
2026-02-09T02:15:12.096Z,sec-admin01,registry.npmjs.org,A,74.112.186.55,NOERROR,39
2026-02-09T02:17:29.858Z,sec-admin01,registry.npmjs.org,A,140.82.112.5,NOERROR,51
2026-02-09T02:18:16.273Z,jumphost-01,registry.npmjs.org,A,74.112.186.55,NOERROR,52
2026-02-09T02:20:20.577Z,hr-ws11,box.com,A,13.107.42.14,NOERROR,13
2026-02-09T02:22:56.314Z,hr-ws11,login.microsoftonline.com,A,13.107.42.14,NOERROR,61
2026-02-09T02:25:06.811Z,filesrv02,registry.npmjs.org,A,52.92.128.17,NOERROR,50
2026-02-09T02:26:54.876Z,finance-lt23,s3.us-west-2.amazonaws.com,A,74.112.186.55,NOERROR,34
2026-02-09T02:29:08.515Z,filesrv02,updates.microsoft.com,A,74.112.186.55,NOERROR,56
2026-02-09T02:31:42.603Z,sec-admin01,cdn.slack.com,A,140.82.112.5,NOERROR,64
2026-02-09T02:34:30.087Z,hr-ws11,cdn.slack.com,A,13.107.42.14,NOERROR,37
2026-02-09T02:36:11.464Z,filesrv02,s3.us-west-2.amazonaws.com,A,13.107.42.14,NOERROR,32
2026-02-09T02:36:51.030Z,db-analytics-01,registry.npmjs.org,A,13.107.42.14,NOERROR,33
2026-02-09T02:39:19.567Z,jumphost-01,box.com,A,74.112.186.55,NOERROR,49
2026-02-09T02:41:39.452Z,sec-admin01,login.microsoftonline.com,A,140.82.112.5,NOERROR,68
2026-02-09T02:43:47.918Z,sec-admin01,cdn.slack.com,A,52.92.128.17,NOERROR,61
2026-02-09T02:44:28.989Z,hr-ws11,box.com,A,74.112.186.55,NOERROR,11
2026-02-09T02:46:34.481Z,jumphost-01,cdn.slack.com,A,13.107.42.14,NOERROR,25
