UtcTime,Computer,User,EventID,Image,CommandLine,ParentImage,DestinationIp,DestinationPort,Hashes
2026-02-09 00:00:00.000,hr-ws11,svc-export,1,outlook.exe,"outlook.exe",cmd.exe,,,SHA256=0016cfb03af97ed30016cfb03af97ed30016cfb03af97ed30016cfb03af97ed3
2026-02-09 00:08:10.312,sec-admin01,svc-export,1,powershell.exe,"powershell.exe",explorer.exe,,,SHA256=001113253ae52b80001113253ae52b80001113253ae52b80001113253ae52b80
2026-02-09 00:18:48.887,sec-admin01,mreyes,1,slack.exe,"slack.exe",systemd,,,SHA256=0007dc2d65e784180007dc2d65e784180007dc2d65e784180007dc2d65e78418
2026-02-09 00:26:12.287,finance-lt23,secops,1,powershell.exe,"powershell.exe",cmd.exe,,,SHA256=0015b0e1c09e918f0015b0e1c09e918f0015b0e1c09e918f0015b0e1c09e918f
2026-02-09 00:29:25.542,hr-ws11,npatel,1,slack.exe,"slack.exe",launchd,,,SHA256=000f9047d9edbf90000f9047d9edbf90000f9047d9edbf90000f9047d9edbf90
2026-02-09 00:35:43.726,jumphost-01,svc-backup,1,node,"node",explorer.exe,,,SHA256=000c4a6b7c406d46000c4a6b7c406d46000c4a6b7c406d46000c4a6b7c406d46
2026-02-09 00:43:16.258,hr-ws11,svc-export,1,outlook.exe,"outlook.exe",systemd,,,SHA256=001ccd7399289403001ccd7399289403001ccd7399289403001ccd7399289403
2026-02-09 00:53:03.244,db-analytics-01,secops,1,chrome.exe,"chrome.exe",cmd.exe,,,SHA256=000e73075a8521ae000e73075a8521ae000e73075a8521ae000e73075a8521ae
2026-02-09 00:57:29.555,db-analytics-01,mreyes,1,node,"node",systemd,,,SHA256=001aa73c15455f43001aa73c15455f43001aa73c15455f43001aa73c15455f43
2026-02-09 01:04:53.795,finance-lt23,svc-backup,1,git,"git",systemd,,,SHA256=00183181fdd8d3d000183181fdd8d3d000183181fdd8d3d000183181fdd8d3d0
2026-02-09 01:14:56.564,db-analytics-01,secops,1,outlook.exe,"outlook.exe",explorer.exe,,,SHA256=001d49f5df181ab0001d49f5df181ab0001d49f5df181ab0001d49f5df181ab0
2026-02-09 01:20:40.087,filesrv02,dcho,1,sshd,"sshd",launchd,,,SHA256=001ae5fbbb6327e9001ae5fbbb6327e9001ae5fbbb6327e9001ae5fbbb6327e9
2026-02-09 01:31:57.580,filesrv02,npatel,1,slack.exe,"slack.exe",explorer.exe,,,SHA256=0004b14ad802080a0004b14ad802080a0004b14ad802080a0004b14ad802080a
2026-02-09 01:36:17.696,jumphost-01,svc-build,1,outlook.exe,"outlook.exe",launchd,,,SHA256=000d2afd7f1258d1000d2afd7f1258d1000d2afd7f1258d1000d2afd7f1258d1
2026-02-09 01:40:32.864,hr-ws11,svc-export,1,powershell.exe,"powershell.exe",systemd,,,SHA256=001052c425c9167d001052c425c9167d001052c425c9167d001052c425c9167d
2026-02-09 01:49:59.764,db-analytics-01,svc-backup,1,python3,"python3",systemd,,,SHA256=00023de68fd4f5a700023de68fd4f5a700023de68fd4f5a700023de68fd4f5a7
2026-02-09 01:59:48.906,db-analytics-01,dcho,1,python3,"python3",systemd,,,SHA256=0004ffad8c53ebe80004ffad8c53ebe80004ffad8c53ebe80004ffad8c53ebe8
2026-02-09 02:09:55.321,sec-admin01,svc-build,1,powershell.exe,"powershell.exe",launchd,,,SHA256=00154e9ae99dd1c000154e9ae99dd1c000154e9ae99dd1c000154e9ae99dd1c0
2026-02-09 02:16:14.487,db-analytics-01,npatel,1,outlook.exe,"outlook.exe",launchd,,,SHA256=001c394be2d6be70001c394be2d6be70001c394be2d6be70001c394be2d6be70
2026-02-09 02:22:31.355,sec-admin01,npatel,1,outlook.exe,"outlook.exe",cmd.exe,,,SHA256=00217f08ee7ef2d000217f08ee7ef2d000217f08ee7ef2d000217f08ee7ef2d0
2026-02-09 02:31:33.993,hr-ws11,dcho,1,powershell.exe,"powershell.exe",cmd.exe,,,SHA256=000cb8c3223b6a44000cb8c3223b6a44000cb8c3223b6a44000cb8c3223b6a44
2026-02-09 02:40:58.929,filesrv02,dcho,1,slack.exe,"slack.exe",launchd,,,SHA256=001d66886a9e8958001d66886a9e8958001d66886a9e8958001d66886a9e8958
2026-02-09 02:47:48.586,db-analytics-01,mreyes,1,powershell.exe,"powershell.exe",launchd,,,SHA256=000344e8b9356fb0000344e8b9356fb0000344e8b9356fb0000344e8b9356fb0
2026-02-09 02:58:01.729,hr-ws11,svc-backup,1,git,"git",systemd,,,SHA256=00086d8f662b3f5100086d8f662b3f5100086d8f662b3f5100086d8f662b3f51
2026-02-09 03:06:08.916,jumphost-01,dcho,1,sshd,"sshd",explorer.exe,,,SHA256=0010e1ca4b6dc5680010e1ca4b6dc5680010e1ca4b6dc5680010e1ca4b6dc568
2026-02-09 03:15:53.566,hr-ws11,secops,1,slack.exe,"slack.exe",explorer.exe,,,SHA256=000b8b5319716919000b8b5319716919000b8b5319716919000b8b5319716919
2026-02-09 03:26:06.232,finance-lt23,svc-build,1,git,"git",cmd.exe,,,SHA256=0005d65ca389ab0c0005d65ca389ab0c0005d65ca389ab0c0005d65ca389ab0c
2026-02-09 03:31:09.488,sec-admin01,secops,1,node,"node",cmd.exe,,,SHA256=00148b2f9598e49d00148b2f9598e49d00148b2f9598e49d00148b2f9598e49d
2026-02-09 03:35:41.845,finance-lt23,dcho,1,chrome.exe,"chrome.exe",cmd.exe,,,SHA256=000f9325feb3e801000f9325feb3e801000f9325feb3e801000f9325feb3e801
2026-02-09 03:38:43.270,db-analytics-01,mreyes,1,git,"git",systemd,,,SHA256=0009bbbcfd50b2c60009bbbcfd50b2c60009bbbcfd50b2c60009bbbcfd50b2c6
2026-02-09 03:45:58.026,db-analytics-01,secops,1,sshd,"sshd",launchd,,,SHA256=001c705a086f2272001c705a086f2272001c705a086f2272001c705a086f2272
2026-02-09 03:49:02.182,jumphost-01,svc-build,1,outlook.exe,"outlook.exe",systemd,,,SHA256=001277d887919728001277d887919728001277d887919728001277d887919728
2026-02-09 03:56:26.555,finance-lt23,dcho,1,slack.exe,"slack.exe",cmd.exe,,,SHA256=0017651122453aa30017651122453aa30017651122453aa30017651122453aa3
2026-02-09 04:05:18.059,finance-lt23,svc-build,1,python3,"python3",explorer.exe,,,SHA256=000f46ccd34e49e8000f46ccd34e49e8000f46ccd34e49e8000f46ccd34e49e8
2026-02-09 04:11:54.256,jumphost-01,svc-export,1,slack.exe,"slack.exe",cmd.exe,,,SHA256=0009222b9441d6770009222b9441d6770009222b9441d6770009222b9441d677
2026-02-09 04:17:11.819,hr-ws11,svc-export,1,slack.exe,"slack.exe",explorer.exe,,,SHA256=0008367ffa2b07ec0008367ffa2b07ec0008367ffa2b07ec0008367ffa2b07ec
2026-02-09 04:27:57.972,finance-lt23,mreyes,1,git,"git",cmd.exe,,,SHA256=000a06dc7d9c8943000a06dc7d9c8943000a06dc7d9c8943000a06dc7d9c8943
2026-02-09 04:38:16.705,jumphost-01,svc-export,1,outlook.exe,"outlook.exe",explorer.exe,,,SHA256=000c4d8ff22e8d48000c4d8ff22e8d48000c4d8ff22e8d48000c4d8ff22e8d48
2026-02-09 04:46:44.580,db-analytics-01,svc-backup,1,python3,"python3",systemd,,,SHA256=001ccd8768a843d4001ccd8768a843d4001ccd8768a843d4001ccd8768a843d4
2026-02-09 04:54:03.647,hr-ws11,svc-backup,1,powershell.exe,"powershell.exe",launchd,,,SHA256=001abd36f69dc5e6001abd36f69dc5e6001abd36f69dc5e6001abd36f69dc5e6
2026-02-09 05:02:04.742,jumphost-01,npatel,1,node,"node",systemd,,,SHA256=0012b158010df8bd0012b158010df8bd0012b158010df8bd0012b158010df8bd
2026-02-09 05:09:20.274,filesrv02,mreyes,1,powershell.exe,"powershell.exe",systemd,,,SHA256=0005b9d21d5ec0760005b9d21d5ec0760005b9d21d5ec0760005b9d21d5ec076
2026-02-09 05:19:32.237,filesrv02,npatel,1,outlook.exe,"outlook.exe",cmd.exe,,,SHA256=000d438f568ba0e5000d438f568ba0e5000d438f568ba0e5000d438f568ba0e5
2026-02-09 05:25:13.215,jumphost-01,mreyes,1,outlook.exe,"outlook.exe",systemd,,,SHA256=001cec4f78b5af98001cec4f78b5af98001cec4f78b5af98001cec4f78b5af98
2026-02-09 05:36:33.836,finance-lt23,dcho,1,sshd,"sshd",cmd.exe,,,SHA256=00029a17b6510c4e00029a17b6510c4e00029a17b6510c4e00029a17b6510c4e
2026-02-09 05:43:51.467,db-analytics-01,svc-export,1,python3,"python3",launchd,,,SHA256=0021a9cb470705480021a9cb470705480021a9cb470705480021a9cb47070548
2026-02-09 05:51:57.794,db-analytics-01,svc-build,1,chrome.exe,"chrome.exe",systemd,,,SHA256=000609673b1c2b29000609673b1c2b29000609673b1c2b29000609673b1c2b29
2026-02-09 05:56:46.728,db-analytics-01,svc-backup,1,chrome.exe,"chrome.exe",cmd.exe,,,SHA256=0007ab1913a4f4870007ab1913a4f4870007ab1913a4f4870007ab1913a4f487
2026-02-09 06:01:02.188,db-analytics-01,npatel,1,slack.exe,"slack.exe",systemd,,,SHA256=0012e4a03590bb1a0012e4a03590bb1a0012e4a03590bb1a0012e4a03590bb1a
2026-02-09 06:09:14.724,finance-lt23,npatel,1,node,"node",launchd,,,SHA256=001634f98233e551001634f98233e551001634f98233e551001634f98233e551
2026-02-09 06:13:27.421,finance-lt23,svc-build,1,sshd,"sshd",launchd,,,SHA256=001101dd46c584c7001101dd46c584c7001101dd46c584c7001101dd46c584c7
2026-02-09 06:19:59.666,filesrv02,mreyes,1,outlook.exe,"outlook.exe",systemd,,,SHA256=001b6baea670a6bc001b6baea670a6bc001b6baea670a6bc001b6baea670a6bc
2026-02-09 06:27:10.361,sec-admin01,mreyes,1,sshd,"sshd",explorer.exe,,,SHA256=0021ff97742c95a60021ff97742c95a60021ff97742c95a60021ff97742c95a6
2026-02-09 06:35:12.124,jumphost-01,svc-export,1,powershell.exe,"powershell.exe",systemd,,,SHA256=000f725bb1666b6e000f725bb1666b6e000f725bb1666b6e000f725bb1666b6e
2026-02-09 06:44:20.701,jumphost-01,svc-export,1,git,"git",cmd.exe,,,SHA256=000f6b4b2a232206000f6b4b2a232206000f6b4b2a232206000f6b4b2a232206
2026-02-09 06:53:28.702,db-analytics-01,svc-export,1,python3,"python3",cmd.exe,,,SHA256=001cfa0b60f2dc45001cfa0b60f2dc45001cfa0b60f2dc45001cfa0b60f2dc45
2026-02-09 06:57:33.244,sec-admin01,dcho,1,python3,"python3",systemd,,,SHA256=000f71f8387dfb5c000f71f8387dfb5c000f71f8387dfb5c000f71f8387dfb5c
2026-02-09 07:04:10.056,hr-ws11,dcho,1,chrome.exe,"chrome.exe",systemd,,,SHA256=0022ae29c6b5cd400022ae29c6b5cd400022ae29c6b5cd400022ae29c6b5cd40
2026-02-09 07:09:12.965,hr-ws11,mreyes,1,sshd,"sshd",launchd,,,SHA256=001faabdb933c6d2001faabdb933c6d2001faabdb933c6d2001faabdb933c6d2
2026-02-09 07:16:11.884,db-analytics-01,dcho,1,sshd,"sshd",launchd,,,SHA256=00098c80854360b300098c80854360b300098c80854360b300098c80854360b3
2026-02-09 07:25:22.783,db-analytics-01,secops,1,slack.exe,"slack.exe",cmd.exe,,,SHA256=0019e0b4b499600c0019e0b4b499600c0019e0b4b499600c0019e0b4b499600c
2026-02-09 07:33:11.675,filesrv02,mreyes,1,node,"node",launchd,,,SHA256=001ca95a424fa4aa001ca95a424fa4aa001ca95a424fa4aa001ca95a424fa4aa
2026-02-09 07:36:47.165,finance-lt23,mreyes,1,outlook.exe,"outlook.exe",cmd.exe,,,SHA256=000c9eeaa742143b000c9eeaa742143b000c9eeaa742143b000c9eeaa742143b
2026-02-09 07:45:32.111,finance-lt23,secops,1,node,"node",cmd.exe,,,SHA256=0009a664e976f69b0009a664e976f69b0009a664e976f69b0009a664e976f69b
2026-02-09 07:49:17.740,sec-admin01,mreyes,1,git,"git",systemd,,,SHA256=00231534ca03a16600231534ca03a16600231534ca03a16600231534ca03a166
2026-02-09 07:53:30.143,sec-admin01,dcho,1,python3,"python3",systemd,,,SHA256=001577cc3e99b952001577cc3e99b952001577cc3e99b952001577cc3e99b952
2026-02-09 08:03:30.278,hr-ws11,secops,1,chrome.exe,"chrome.exe",explorer.exe,,,SHA256=0022710dc75325f80022710dc75325f80022710dc75325f80022710dc75325f8
2026-02-09 08:14:38.890,hr-ws11,svc-build,1,sshd,"sshd",launchd,,,SHA256=000d61d588f82917000d61d588f82917000d61d588f82917000d61d588f82917
2026-02-09 08:18:35.489,filesrv02,dcho,1,sshd,"sshd",launchd,,,SHA256=001273d6f26b6c84001273d6f26b6c84001273d6f26b6c84001273d6f26b6c84
2026-02-09 08:25:57.644,sec-admin01,secops,1,git,"git",cmd.exe,,,SHA256=001fa9b8cce95a24001fa9b8cce95a24001fa9b8cce95a24001fa9b8cce95a24
